RAW > 3.9 9 0 48 48 -1
RAW > 3.903949895217 0 1 -1 -1 -1
RAW > 3.904141895217 2 2 -1 -1 0
RAW > 3.907949895217 0 1 -1 -1 -1
RAW > 3.908141895217 2 2 -1 -1 0
RAW > 3.951949895217 0 1 -1 -1 -1
RAW > 3.955949895217 0 1 -1 -1 -1
RAW > 3.999949895217 0 1 -1 -1 -1
RAW > 4 0 0 58 58 -1
RAW > 4 1 0 81 81 -1
RAW > 4 2 0 62 62 -1
RAW > 4 3 0 7 7 -1
RAW > 4 4 0 76 76 -1
RAW > 4 5 0 37 37 -1
RAW > 4 6 0 12 12 -1
RAW > 4 7 0 92 92 -1
RAW > 4 8 0 93 93 -1
RAW > 4 9 0 48 48 -1
RAW > 4.000141895217 2 2 -1 -1 0
RAW > 4.003949895217 0 1 -1 -1 -1
RAW > 4.004141895217 2 2 -1 -1 0
RAW > 4.047949895217 0 1 -1 -1 -1
RAW > 4.048141895217 2 2 -1 -1 0
RAW > 4.051949895217 0 1 -1 -1 -1
RAW > 4.052141895217 2 2 -1 -1 0
RAW > 4.095949895217 0 1 -1 -1 -1
RAW > 4.096141895217 2 2 -1 -1 0
RAW > 4.099949895217 0 1 -1 -1 -1
RAW > 4.1 0 0 58 58 -1
RAW > 4.1 1 0 81 81 -1
RAW > 4.1 2 0 62 62 -1
RAW > 4.1 3 0 7 7 -1
RAW > 4.1 4 0 75 75 -1
RAW > 4.1 5 0 37 37 -1
RAW > 4.1 6 0 12 12 -1
RAW > 4.1 7 0 92 92 -1
RAW > 4.1 8 0 93 93 -1
RAW > 4.1 9 0 47 47 -1
RAW > 4.143949895217 0 1 -1 -1 -1
RAW > 4.144141895217 2 2 -1 -1 0
RAW > 4.147949895217 0 1 -1 -1 -1
RAW > 4.148141895217 2 2 -1 -1 0
RAW > 4.191949895217 0 1 -1 -1 -1
RAW > 4.195949895217 0 1 -1 -1 -1
RAW > 4.196141895217 2 2 -1 -1 0
RAW > 4.2 0 0 59 59 -1
RAW > 4.2 1 0 81 81 -1
RAW > 4.2 2 0 62 62 -1
RAW > 4.2 3 0 8 8 -1
RAW > 4.2 4 0 75 75 -1
RAW > 4.2 5 0 37 37 -1
RAW > 4.2 6 0 12 12 -1
RAW > 4.2 7 0 92 92 -1
RAW > 4.2 8 0 93 93 -1
RAW > 4.2 9 0 47 47 -1
RAW > 4.239949895217 0 1 -1 -1 -1
RAW > 4.240141895217 2 2 -1 -1 0
RAW > 4.243949895217 0 1 -1 -1 -1
RAW > 4.244141895217 2 2 -1 -1 0
RAW > 4.287949895217 0 1 -1 -1 -1
RAW > 4.291949895217 0 1 -1 -1 -1
RAW > 4.3 0 0 59 59 -1
RAW > 4.3 1 0 81 81 -1
RAW > 4.3 2 0 62 62 -1
RAW > 4.3 3 0 8 8 -1
RAW > 4.3 4 0 75 75 -1
RAW > 4.3 5 0 37 37 -1
RAW > 4.3 6 0 12 12 -1
RAW > 4.3 7 0 92 92 -1
RAW > 4.3 8 0 93 93 -1
